gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
Smp_241480.1	5.93	0.06	0.13	2.78	0.47	4.42	0.99	1.09	2.63	2.2	1.37	1.31	0.98	0.92	1.17	0.9	0.49	1.03	0.07	0.1	0.12	0.17	0.24	0.28
Smp_241490.1	0.95	0.03	0.01	2	0.56	1.4	0.5	0.38	1.14	0.43	0.77	0.24	0.41	0.3	0.51	0.65	0.85	0.84	0	0	0	0.07	0.1	0.25
Smp_241500.1	10.99	2.46	4.37	17.14	10.19	37.88	16.48	16.53	20	16.7	18.19	15.67	27.94	24.23	20.3	65.37	57.45	65.81	2.66	2.53	2.4	5.06	8.78	9.07
Smp_241510.1	4.8	0.05	0.04	3.42	4.82	3.38	0.47	0.62	2.09	1.52	0.72	1	7.48	8.05	7.44	8.45	5.75	8.62	1.7	1.49	1.9	2.44	3.12	4.56
Smp_241570.1	30.38	13.16	5.82	19.18	9.85	31.57	16.94	20.15	15.99	16.47	13.82	20.12	25.43	25.96	32.14	26.97	23.45	25.82	21.29	20.19	19.14	19.04	17.67	19.47
Smp_241570.2	0.6	0	0	0	0	0.94	0	0	0.23	0	0	0.43	1.55	1.51	0	0.43	0.61	1.01	0	0	0	0.25	0.5	0.18
Smp_241580.1	46.61	8.9	11.33	25.01	17.44	36.45	23.9	23.31	34.14	39.28	29.08	24.18	15.13	14.2	14.33	39.27	38.29	35.06	14.85	15.3	12.78	36.98	32.55	35.95
Smp_241610.1	2.04	0.03	0.06	0.18	0.16	0.2	0.42	0.45	1.52	1.14	1.1	0.27	308.61	30.87	17.67	83.53	36.53	153.7	11690.78	10979.03	10600.23	5446.19	4143.77	2932.57
Smp_241620.1	0.55	0.09	0.08	1.11	1.55	1.06	0.92	1.04	0.81	1.74	0.34	0.78	73.08	7.8	5.59	46.11	16.54	75.22	2658.95	2781.49	2239.51	2571.69	2293.04	1251.6
Smp_241750.1	2.8	4.04	3.26	1.3	0	1.11	0	0	0.25	0.3	0.17	0.16	0	0	0.54	1.23	0.53	0.75	0	0.77	0.5	0.99	0.67	0.37
Smp_241750.2	53.13	9.17	4.72	41.45	59.04	35.45	45.57	49.15	25.99	26.79	33.73	49.56	60.05	49.73	52.28	54.17	45.29	49.22	39.45	38	36.6	35.49	32.73	38.33
